prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
,,80,Kota Damansara,Apartment,1,6,1,400,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
,,85,Seri Kembangan,Soho,,1,,761,,Parking,Near KTM/LRT,Selangor
Platinum Lake PV 15,,100,Setapak,Condominium,4,2,2,1500,Fully Furnished,Parking,Cooking Allowed,Kuala Lumpur
Platinum Lake PV 15,,100,Setapak,Condominium,1,,1,500,Not Furnished,,,Kuala Lumpur
SD Tiara Apartment,,100,Bandar Sri Damansara,Apartment,1,,1,400,Fully Furnished,"Parking, Security",,Selangor
Kristal Heights (Shah Alam),2006,100,Shah Alam,Condominium,3,1,3,1000,Not Furnished,Parking,,Selangor
Pangsapuri Melur (Sentul),2006,120,Sentul,Apartment,3,,2,1000,Not Furnished,Parking,,Kuala Lumpur
Riverville Residences,2015,120,Old Klang Road,Condominium,3,,3,1350,Fully Furnished,"Parking, Playground, Swimming Pool, Jogging Track, Barbeque area, Gymnasium, Multipurpose hall, Security, Lift, Sauna, Minimart, Club house",,Kuala Lumpur
The Grand Subang SS13,,120,Subang Jaya,Service Residence,2,,1,548,Fully Furnished,"Gymnasium, Barbeque area, Swimming Pool, Jogging Track, Multipurpose hall, Security, Playground, Lift, Parking",,Selangor
Bayu Puteri,2004,120,Petaling Jaya,Apartment,1,,1,300,Partially Furnished,"Parking, Security, Swimming Pool, Gymnasium, Tennis Court, Sauna, Minimart, Playground, Barbeque area",,Selangor
Galleria Equine Park,2016,150,Seri Kembangan,Service Residence,1,1,1,1000,Not Furnished,"Barbeque area, Multipurpose hall, Playground, Parking, Security, Swimming Pool, Gymnasium, Lift, Minimart",,Selangor
Dataran Otomobil Apartment,,190,Shah Alam,Apartment,3,10,2,850,Fully Furnished,"Parking, Minimart",,Selangor
Pusat Komersial Seksyen 7 Shop Apartment,,200,Shah Alam,Apartment,4,1,2,800,Partially Furnished,"Parking, Minimart","Cooking Allowed, Washing Machine, Internet",Selangor
Pacific Star,2016,200,Petaling Jaya,Studio,1,1,1,300,Not Furnished,Parking,,Selangor
Mentari Court,2006,220,Petaling Jaya,Apartment,3,,2,850,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Jogging Track","Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
EkoCheras Service Apartment,2017,250,Cheras,Service Residence,1,1,1,700,Not Furnished,Parking,,Kuala Lumpur
Lagoon Perdana,2021,250,Petaling Jaya,Apartment,3,,2,852,Fully Furnished,"Playground, Gymnasium, Security, Swimming Pool, Multipurpose hall, Lift","Cooking Allowed, Washing Machine",Selangor
Bandar Bukit Puchong,,250,Puchong,Flat,3,,1,650,Partially Furnished,,,Selangor
Pangsapuri Berlian Subang,,250,Subang Jaya,Apartment,3,,2,805,Fully Furnished,"Parking, Playground","Cooking Allowed, Near KTM/LRT",Selangor
Brunsfield Riverview,,260,Shah Alam,Condominium,3,2,2,797,Fully Furnished,"Minimart, Security, Playground, Parking, Swimming Pool, Jogging Track, Lift","Cooking Allowed, Washing Machine",Selangor
Pangsapuri Baiduri (Bandar Tasik Kesuma),,270,Beranang,Apartment,3,1,2,750,Partially Furnished,"Parking, Playground",Washing Machine,Selangor
Taman Langat Murni Apartment,,270,Banting,Apartment,4,,2,900,Partially Furnished,"Playground, Parking, Multipurpose hall, Minimart","Cooking Allowed, Washing Machine",Selangor
Seri Ixora Apartment,,280,Shah Alam,Apartment,3,,2,800,Fully Furnished,"Multipurpose hall, Security, Tennis Court, Parking, Playground, Lift, Barbeque area, Minimart, Jogging Track","Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
,,280,Seri Kembangan,Apartment,5,,3,2100,Partially Furnished,"Parking, Security, Minimart, Swimming Pool, Jogging Track","Cooking Allowed, Washing Machine",Selangor
Brunsfield Riverview,,280,Shah Alam,Condominium,1,,2,800,Fully Furnished,"Parking, Jogging Track, Security, Lift, Swimming Pool, Playground, Minimart","Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Menara U2,2014,290,Shah Alam,Service Residence,2,1,1,450,Fully Furnished,"Sauna, Swimming Pool, Multipurpose hall, Gymnasium, Squash Court, Security","Air-Cond, Washing Machine",Selangor
Taman Pinggiran Batu Caves Flat,,300,Batu Caves,Flat,3,,1,650,Fully Furnished,"Swimming Pool, Sauna",Cooking Allowed,Selangor
Rampai Idaman,,300,Damansara Damai,Flat,4,,2,650,Not Furnished,,Internet,Selangor
Rampai Idaman,,300,Damansara Damai,Flat,4,,2,650,Not Furnished,,Internet,Selangor
Rampai Idaman,,300,Damansara Damai,Flat,4,,2,650,Not Furnished,,Internet,Selangor
,,300,Rawang,Others,3,,1,650,Not Furnished,"Playground, Parking",,Selangor
Vistana Mahkota,,300,Bandar Mahkota Cheras,Apartment,1,,1,300,Fully Furnished,"Parking, Security, Sauna, Minimart, Swimming Pool",Washing Machine,Selangor
Teratai Apartment (Taman Bunga Raya),,300,Rawang,Apartment,3,,2,676,Not Furnished,,,Selangor
OUG Parklane,,350,OUG,Service Residence,1,,1,300,Fully Furnished,"Swimming Pool, Sauna, Playground, Parking, Security, Minimart, Squash Court","Washing Machine, Air-Cond",Kuala Lumpur
De Tropicana,,350,Kuchai Lama,Condominium,3,,2,1102,Partially Furnished,"Swimming Pool, Sauna, Parking, Security, Minimart, Playground, Gymnasium, Barbeque area, Tennis Court, Squash Court","Cooking Allowed, Washing Machine",Kuala Lumpur
Teratai Apartment (Taman Bunga Raya),,350,Rawang,Apartment,3,,2,650,Not Furnished,,,Selangor
,,350,Petaling Jaya,Apartment,1,,1,200,Fully Furnished,"Security, Swimming Pool, Multipurpose hall, Playground, Gymnasium","Air-Cond, Washing Machine",Selangor
Apartment Ruby,,350,Shah Alam,Apartment,3,1,2,1045,Partially Furnished,"Parking, Playground",,Selangor
Avenue Crest,,350,Shah Alam,Service Residence,5,,1,900,Partially Furnished,"Lift, Multipurpose hall",,Selangor
